"time_chunk","sim","source","computer_unimodal","human_unimodal","lumps","gaps","gaps_stringent","revisit"
"aughts",22,"constrained_s",TRUE,1,1,0,0,0
"aughts",23,"constrained_s",NA,0,2,1,0,0
"aughts",24,"constrained_s",TRUE,1,1,0,0,0
"aughts",25,"constrained_s",TRUE,1,1,0,0,0
"aughts",26,"constrained_s",TRUE,0,2,1,1,0
"aughts",27,"constrained_s",TRUE,0,2,1,1,0
"aughts",28,"constrained_s",TRUE,1,1,0,0,0
"aughts",29,"constrained_s",NA,0,2,1,0,0
"aughts",30,"constrained_s",TRUE,1,1,0,0,0
"aughts",31,"constrained_s",NA,0,2,0,0,0
"aughts",32,"constrained_s",TRUE,1,1,0,0,0
"aughts",33,"constrained_s",TRUE,1,1,0,0,0
"aughts",34,"constrained_s",TRUE,0,2,1,1,0
"aughts",35,"constrained_s",TRUE,1,1,0,0,0
"aughts",36,"constrained_s",TRUE,1,1,0,0,0
"aughts",37,"constrained_s",TRUE,1,1,0,0,0
"aughts",38,"constrained_s",TRUE,1,1,0,0,0
"aughts",39,"constrained_s",TRUE,0,2,1,0,0
"aughts",40,"constrained_s",TRUE,1,1,0,0,0
"aughts",41,"constrained_s",TRUE,1,1,0,0,0
"aughts",42,"constrained_s",TRUE,1,1,0,0,0
"aughts",43,"constrained_s",TRUE,1,1,0,0,0
"aughts",44,"constrained_s",TRUE,1,1,0,0,0
"aughts",45,"constrained_s",TRUE,0,2,1,1,0
"aughts",46,"constrained_s",NA,1,1,0,0,0
"aughts",47,"constrained_s",TRUE,1,1,0,0,0
"aughts",48,"constrained_s",TRUE,1,1,0,0,0
"aughts",49,"constrained_s",TRUE,0,2,1,1,0
"aughts",50,"constrained_s",TRUE,0,2,1,1,0
