"censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag"
1977-09-11,9,12,1977,"control",4,33,"DM","F",36,45,"0","0"
1977-09-11,9,12,1977,"control",4,37,"DS","M",50,NA,"0","0"
1977-09-11,9,12,1977,"control",4,52,"DM","M",35,39,"0","0"
1977-09-11,9,12,1977,"control",4,74,"DS","F",48,NA,"0","0"
1977-09-11,9,12,1977,"control",4,77,"PF","F",13,9,"0","0"
1977-09-11,9,11,1977,"control",5,14,"DS","M",53,NA,"0","0"
1977-09-11,9,11,1977,"control",5,21,"DM","M",37,42,"0","0"
1977-09-11,9,11,1977,"control",5,37,"DM","M",37,NA,"0","0"
1977-09-11,9,11,1977,"control",5,76,"DM","F",37,46,"0","0"
1977-09-11,9,11,1977,"control",6,21,"DM","F",39,45,"0","0"
1977-09-11,9,11,1977,"control",6,36,"DM","M",36,42,"0","0"
1977-09-11,9,11,1977,"control",6,73,"DM","M",34,36,"0","0"
1977-09-11,9,12,1977,"control",7,26,"DM","M",36,34,"0","0"
1977-09-11,9,12,1977,"control",7,35,"PE",NA,NA,NA,"0","0"
1977-09-11,9,12,1977,"control",7,47,"PF","F",15,7,"0","0"
1977-09-11,9,13,1977,"control",8,25,"DS","F",50,NA,"0","0"
1977-09-11,9,13,1977,"control",9,42,"DM","M",38,50,"0","0"
1977-09-11,9,13,1977,"control",9,47,"DS","M",48,NA,"0","0"
1977-09-11,9,13,1977,"control",9,51,"DM","M",35,45,"0","0"
1977-09-11,9,13,1977,"control",9,54,"DS","F",47,NA,"0","0"
1977-09-11,9,13,1977,"control",9,56,"DS","F",50,NA,"0","0"
1977-09-11,9,13,1977,"control",9,67,"DS","F",53,NA,"0","0"
1977-09-11,9,12,1977,"control",10,56,"DS","M",47,NA,"0","0"
1977-09-11,9,12,1977,"control",11,53,"DM","M",36,29,"0","0"
1977-09-11,9,12,1977,"control",11,57,"DM","M",38,46,"0","0"
1977-09-11,9,12,1977,"control",11,73,"DM","F",36,53,"0","0"
1977-09-11,9,11,1977,"control",12,22,"PP","F",21,16,"0","0"
1977-09-11,9,11,1977,"control",12,36,"DM","M",36,44,"0","0"
1977-09-11,9,11,1977,"control",12,43,"DM","F",36,40,"0","0"
1977-09-11,9,11,1977,"control",12,54,"DM","M",37,34,"0","0"
1977-09-11,9,11,1977,"control",12,62,"DS","M",45,NA,"0","0"
1977-09-11,9,11,1977,"control",12,72,"DM","M",37,44,"0","0"
1977-09-11,9,13,1977,"control",13,13,"DM","M",36,48,"0","0"
1977-09-11,9,13,1977,"control",13,43,"DM","M",35,44,"0","0"
1977-09-11,9,13,1977,"control",13,53,"DM","F",37,45,"0","0"
1977-09-11,9,12,1977,"control",14,22,"DS","F",48,NA,"0","0"
1977-09-11,9,12,1977,"control",14,47,"DM","M",37,51,"0","0"
1977-09-11,9,12,1977,"control",14,72,"DM","M",37,45,"0","0"
1977-09-11,9,12,1977,"control",14,75,"DM","F",35,49,"0","0"
1977-09-11,9,12,1977,"control",14,76,"DM","F",36,46,"0","0"
1977-09-11,9,13,1977,"control",15,26,"DM",NA,NA,NA,"0","0"
1977-09-11,9,13,1977,"control",15,32,"DM",NA,NA,NA,"0","0"
1977-09-11,9,13,1977,"control",15,43,"DM",NA,NA,NA,"0","0"
1977-09-11,9,13,1977,"control",15,44,"DS",NA,NA,NA,"0","0"
1977-09-11,9,12,1977,"control",16,57,"DM","F",37,41,"0","0"
1977-09-11,9,12,1977,"control",16,63,"DS","M",50,NA,"0","0"
1977-09-11,9,12,1977,"control",16,65,"DS","F",53,NA,"0","0"
